topic_id,numtopic_id,topic_name,batch_id,n_batches_for_topic,n_samples,folder_path,file_path
-1,T_OUTLIER,-1_use smartthings_detects_automatically turn_run homeseer event,1,5,100,data\batch\topic_-1,data\batch\topic_-1\topic_-1_batch_001.csv
-1,T_OUTLIER,-1_use smartthings_detects_automatically turn_run homeseer event,2,5,100,data\batch\topic_-1,data\batch\topic_-1\topic_-1_batch_002.csv
-1,T_OUTLIER,-1_use smartthings_detects_automatically turn_run homeseer event,3,5,100,data\batch\topic_-1,data\batch\topic_-1\topic_-1_batch_003.csv
-1,T_OUTLIER,-1_use smartthings_detects_automatically turn_run homeseer event,4,5,100,data\batch\topic_-1,data\batch\topic_-1\topic_-1_batch_004.csv
-1,T_OUTLIER,-1_use smartthings_detects_automatically turn_run homeseer event,5,5,75,data\batch\topic_-1,data\batch\topic_-1\topic_-1_batch_005.csv
0,T000,0_presence detected smartthings_detected smartthings_alarm activated_turn automatically,1,2,100,data\batch\topic_0,data\batch\topic_0\topic_0_batch_001.csv
0,T000,0_presence detected smartthings_detected smartthings_alarm activated_turn automatically,2,2,60,data\batch\topic_0,data\batch\topic_0\topic_0_batch_002.csv
1,T001,1_use wink_set ecobee_automatic_turn device,1,2,100,data\batch\topic_1,data\batch\topic_1\topic_1_batch_001.csv
1,T001,1_use wink_set ecobee_automatic_turn device,2,2,57,data\batch\topic_1,data\batch\topic_1\topic_1_batch_002.csv
2,T002,2_automatically turn_philips hue turn_turn switch_change light,1,2,100,data\batch\topic_2,data\batch\topic_2\topic_2_batch_001.csv
2,T002,2_automatically turn_philips hue turn_turn switch_change light,2,2,53,data\batch\topic_2,data\batch\topic_2\topic_2_batch_002.csv
3,T003,3_change light_turn light_lamp_blink lights philips,1,2,100,data\batch\topic_3,data\batch\topic_3\topic_3_batch_001.csv
3,T003,3_change light_turn light_lamp_blink lights philips,2,2,50,data\batch\topic_3,data\batch\topic_3\topic_3_batch_002.csv
4,T004,4_turn heater_insight switch_turn ac_plug turn,1,2,100,data\batch\topic_4,data\batch\topic_4\topic_4_batch_001.csv
4,T004,4_turn heater_insight switch_turn ac_plug turn,2,2,48,data\batch\topic_4,data\batch\topic_4\topic_4_batch_002.csv
5,T005,5_set thermostat_add event google_ecobee_event starts google,1,2,100,data\batch\topic_5,data\batch\topic_5\topic_5_batch_001.csv
5,T005,5_set thermostat_add event google_ecobee_event starts google,2,2,37,data\batch\topic_5,data\batch\topic_5\topic_5_batch_002.csv
6,T006,6_start activity harmony_activity harmony turn_activity harmony_start activity,1,2,100,data\batch\topic_6,data\batch\topic_6\topic_6_batch_001.csv
6,T006,6_start activity harmony_activity harmony turn_activity harmony_start activity,2,2,11,data\batch\topic_6,data\batch\topic_6\topic_6_batch_002.csv
7,T007,7_siren_alarm turn_motion sensor_alarm change,1,2,100,data\batch\topic_7,data\batch\topic_7\topic_7_batch_001.csv
