sample_id,topic_name,topic_text
T015_S0001,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Smart Home/Away from ecobee, do Activate shortcut using Wink: Shortcuts. Turn on lights by motion. When motion is detected by ecobee the Wink hub turns on its connected Lights."
T015_S0002,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day of the week at from Date & Time, do Activate shortcut using Wink: Shortcuts. If weekday morning at 6:00 AM, then turn on the lights. Select a Wink shortcut to turn on your lights"
T015_S0003,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Motion has been detected from Withings Home, do Activate shortcut using Wink: Shortcuts. If motion is detected by Withings Home, then activate Wink app shortcut Entry Lights On. Great for motion activated security lights, If motion is detected by Withings Home, then activate Wink app shortcut Entry Lights On."
T015_S0004,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Set temperature using Nest Thermostat. When a device disconnects from OnHub set Nest thermostat temperature. Control Nest thermostat temperature with OnHub."
T015_S0005,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Set temperature using Nest Thermostat. When a device connects to OnHub set Nest thermostat temperature. Control Nest thermostat temperature with OnHub."
T015_S0006,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Alarm activated from abode, do Activate shortcut using Wink: Shortcuts. If alarm is activated, then turn all lights on. If alarm is activated, then turn all lights on"
T015_S0007,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You exit an area from Location, do Activate shortcut using Wink: Shortcuts. Leaving House. Leaving turn off hvac"
T015_S0008,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Smart Home/Away from ecobee, do Activate shortcut using Wink: Shortcuts. Turn on lights by motion. When motion is detected by ecobee the Wink hub turns on its connected Lights."
T015_S0009,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Smart Home/Away from ecobee, do Activate shortcut using Wink: Shortcuts. Ecobee motion turns on the lights. Use remote motion sensors to trigger wink shortcuts"
T015_S0010,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day at from Date & Time, do Activate shortcut using Wink: Shortcuts. Evening: Patio Lights ON. Evening: Patio Lights ON"
T015_S0011,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. Turn on Lights when I get home. I typically would use Wink Geofencing to make this happen, but there is a known bug in their last firmware updateThis recipe uses my location to activate my Wink shortcut."
T015_S0012,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Say a simple phrase from Google Assistant, do Prioritize Device using Google Wifi. Give Priority to a device connected to Onhub/Wifi from Google Assistant. Why open the Onhub/Wifi app to give a device priority when you can tell your Pixel phone to give itThis example is for a Roku."
T015_S0013,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Say a simple phrase from Google Assistant, do Prioritize Device using Google Wifi. Prioritize Your Pixel. This will prioritize your already speedy Pixel on your network for an hour."
T015_S0014,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Say a simple phrase from Google Assistant, do Prioritize Device using Google Wifi. Prioritize Your Chromecast. This will prioritize a selected Chromecast for that hour-long Netflix session."
T015_S0015,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day at from Date & Time, do Activate shortcut using Wink: Shortcuts. On. On"
T015_S0016,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You exit an area from Location, do Activate shortcut using Wink: Shortcuts. If you exit a location then turn off lights. If you exit a location then turn off lights"
T015_S0017,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When iPhone senses you're home, turn on lights. When your iPhone senses you are home, trigger Wink to turn on your lightsTips: 1) Use Wink compatible lights2) Use the Wink HUB to allow your smart products to work together3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your iPhone senses you are home."
T015_S0018,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When Android senses your home, turn on lights. When your Android phone senses you are home, trigger Wink to turn on your lightsTips: 1) Use Wink compatible lights2) Use the Wink HUB to allow your smart products to work together3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your Android phone senses you are home."
T015_S0019,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Set temperature using Nest Thermostat. When a device connects to OnHub set Nest thermostat temperature. Control Nest thermostat temperature with OnHub."
T015_S0020,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Set temperature using Nest Thermostat. When a device disconnects from OnHub set Nest thermostat temperature. Control Nest thermostat temperature with OnHub."
T015_S0021,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Set temperature using Nest Thermostat. Onhub & Nest: Improve Auto-Away (on arriving). Dramatically improves Nest's auto-assist performanceUpon my phone disconnecting from my Onhub router, it jacks the Nest's thermostat temperature up to 90 in the summer time, effectively turning it offUpon reconnecting to my Onhub router, it restores the Nest's thermostat setting to 78Works perfectlyPractically no delay upon leaving/entering home."
T015_S0022,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Say a simple phrase from Google Assistant, do Activate shortcut using Wink: Shortcuts. OKGoogle trigger a specific shortcut in Wink. Use this to use casual language to trigger a certain shortcut you've set up in WinkI have a group of lights for the back of the houseSo at the end of the night, I can turn everything off with this one shortcut."
T015_S0023,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Say a simple phrase from Google Assistant, do Activate shortcut using Wink: Shortcuts. light on wink. Turn on a wink shortcut by saying ""lights on"""
T015_S0024,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Motion detected from Manything, do Activate shortcut using Wink: Shortcuts. Manything activates outside lights. I have a driveway alarm and when it goes off usually my Manything motion detection camera will trigger as wellSo at 3am if someone enters my driveway, my manything will trigger and send a message to Wink Shortcuts to turn on all outside lights! Genius!"
T015_S0025,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Activate shortcut using Wink: Shortcuts. Turn on lights at Sunset using Wink. Connect Weather channel and set to your local area."
T015_S0026,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Activate shortcut using Wink: Shortcuts. Turn on the Outdoor lights at Sunset.. I had trouble getting Hue to consistently control these GE Link bulbs and I wanted to continue automating them, so I paired them with my Wink hub and created this instead."
T015_S0027,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Activate shortcut using Wink: Shortcuts. 15 minutes before sunset, activate Wink shortcut for lights. I use this to activate my lights at duskJust assign a shortcut to your lights on Wink and use this to send the signal."
T015_S0028,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Activate shortcut using Wink: Shortcuts. Turn-on Light at Sunset. Turn-on lights via WINK 15 minutes before sunset"
T015_S0029,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Turn outlet on using Wink: Pivot Power Genius. Turn Pivot Power Strip on at Sunset. Use a Pivot Power Strip and a Wink app robot to control any Wink item you want at sunset."
T015_S0030,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunrise from Weather Underground, do Activate shortcut using Wink: Shortcuts. If Sunrise, turn outside lights off. (wink hub / GE Link bulbs)Since my Hue bridge was always disconnecting from my GE link bulbs I decided to use Wink insteadAlexa doesnt control GE Link bulbs anymore on the Wink hub (?) so I made this."
T015_S0031,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunrise from Weather Underground, do Activate shortcut using Wink: Shortcuts. At sunrise run wink shortcut. you can use this to turn lights off at sunrise, or any other wink shortcut."
T015_S0032,15_phrase google assistant_alarm activated_activate wink_google assistant,"When New sound or motion event from Nest Cam, do Prioritize Device using Google Wifi. If new sound or motion event, then prioritize Nest Cam on OnHub. Prioritize Nest Cam on OnHub when it notices anything."
T015_S0033,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Button press from Button widget, do Activate shortcut using Wink: Shortcuts. Turn off all my lights and adjust my thermostat. Turn off lights around your home and adjust your thermostat with IFTTT and Wink.Tips: 1) Use Wink compatible lights and thermostat.2) Use the Wink HUB to allow your smart products to work together.3) Create a Shortcut in the Wink App to turn off lights and adjust thermostat, then use IFTTT to trigger this shortcut."
T015_S0034,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Disconnects from Google Wifi, do Set temperature range using Nest Thermostat. Set Nest temp when device disconnects from OnHub. When a mobile device disconnects for OnHub, set the Nest to certain temp"
T015_S0035,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Button press from Button widget, do Toggle on/off using Wink: Pivot Power Genius. Toggle outlet on/off. Choose an outlet on your Pivot Power Genius and quickly toggle it on/off."
